month,L Income,L 2025,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,G Fund,F Fund,U.S. Aggregate Index,C Fund,S&P 500,S Fund,DJ TSM,I Fund,EAFE
July 2018,0.79,,1.91,,2.21,,2.48,,,,0.25,0.04,0.02,3.72,3.72,1.64,1.61,2.45,2.46
June 2018,0.19,,0.14,,0.13,,0.12,,,,0.24,-0.10,-0.12,0.61,0.62,0.86,0.87,-1.20,-1.22
May 2018,0.50,,0.98,,1.13,,1.26,,,,0.24,0.73,0.71,2.41,2.41,4.85,4.77,-2.13,-2.25
April 2018,0.30,,0.55,,0.62,,0.69,,,,0.23,-0.73,-0.74,0.38,0.38,0.28,0.24,2.01,2.28
March 2018,-0.08,,-0.78,,-0.96,,-1.11,,,,0.24,0.65,0.64,-2.55,-2.54,0.69,0.70,-0.76,-1.80
February 2018,-0.70,,-2.48,,-2.98,,-3.41,,,,0.21,-0.96,-0.95,-3.69,-3.69,-3.79,-3.79,-5.07,-4.51
January 2018,1.10,,3.12,,3.66,,4.15,,,,0.20,-1.14,-1.15,5.72,5.73,3.34,3.35,5.00,5.02
December 2017,0.41,,0.81,,0.92,,1.00,,,,0.20,0.48,0.46,1.11,1.11,0.47,0.52,1.60,1.61
November 2017,0.62,,1.55,,1.80,,2.03,,,,0.19,-0.11,-0.13,3.07,3.07,2.90,2.86,1.06,1.05
October 2017,0.54,,1.27,,1.46,,1.63,,,,0.19,0.07,0.06,2.33,2.33,1.41,1.40,1.54,1.52
September 2017,0.60,,1.60,,1.87,,2.14,,,,0.17,-0.48,-0.48,2.06,2.06,4.26,4.22,2.52,2.49
August 2017,0.22,,0.19,,0.17,,0.15,,,,0.19,0.91,0.90,0.30,0.31,-0.41,-0.41,-0.03,-0.04
July 2017,0.60,,1.42,,1.63,,1.82,,,,0.19,0.43,0.43,2.05,2.06,1.11,1.11,2.88,2.88
June 2017,0.26,,0.46,,0.52,,0.58,,,,0.19,-0.09,-0.10,0.62,0.62,2.33,2.31,-0.18,-0.18
May 2017,0.55,,1.22,,1.38,,1.51,,,,0.19,0.81,0.77,1.41,1.41,-0.77,-0.78,3.76,3.67
April 2017,0.50,,1.07,,1.21,,1.34,,,,0.20,0.81,0.77,1.03,1.03,1.15,1.11,2.62,2.54
March 2017,0.33,,0.64,,0.71,,0.78,,,,0.20,-0.01,-0.05,0.12,0.12,-0.08,-0.07,2.85,2.75
February 2017,0.77,,1.96,,2.25,,2.51,,,,0.18,0.71,0.67,3.97,3.97,2.45,2.45,1.44,1.43
January 2017,0.61,,1.48,,1.70,,1.91,,,,0.20,0.23,0.20,1.90,1.90,2.16,2.15,2.89,2.90
December 2016,0.64,,1.59,,1.82,,2.04,,,,0.20,0.16,0.14,1.98,1.98,1.81,1.80,3.44,3.42
November 2016,0.49,,1.57,,1.87,,2.19,,,,0.16,-2.35,-2.37,3.71,3.70,7.95,7.83,-1.99,-1.99
October 2016,-0.38,,-1.39,,-1.66,,-1.89,,,,0.14,-0.74,-0.76,-1.82,-1.82,-3.86,-3.86,-2.03,-2.05
September 2016,0.20,,0.38,,0.43,,0.48,,,,0.13,-0.04,-0.06,0.02,0.02,0.90,0.89,1.24,1.23
August 2016,0.13,,0.18,,0.20,,0.21,,,,0.13,-0.11,-0.11,0.14,0.14,0.80,0.76,0.08,0.07
July 2016,1.00,,2.85,,3.31,,3.74,,,,0.13,0.64,0.63,3.69,3.69,5.40,5.38,5.07,5.07
June 2016,0.11,,-0.31,,-0.43,,-0.58,,,,0.15,1.80,1.80,0.26,0.26,-0.13,-0.15,-3.33,-3.36
May 2016,0.38,,0.91,,1.03,,1.15,,,,0.15,0.08,0.03,1.80,1.80,1.81,1.78,0.27,-0.91
April 2016,0.34,,0.75,,0.85,,0.95,,,,0.14,0.41,0.38,0.39,0.39,1.73,1.68,1.89,2.90
March 2016,1.53,,4.54,,5.25,,5.94,,,,0.15,0.93,0.92,6.79,6.78,8.24,8.18,6.59,6.51
February 2016,0.01,,-0.41,,-0.51,,-0.63,,,,0.15,0.68,0.71,-0.12,-0.13,0.50,0.45,-2.82,-1.83
January 2016,-0.91,,-3.58,,-4.21,,-4.86,,,,0.19,1.49,1.38,-4.96,-4.96,-8.72,-8.84,-5.62,-7.23
December 2015,-0.28,,-1.32,,-1.61,,-1.85,,,,0.18,-0.30,-0.32,-1.57,-1.58,-3.91,-3.91,-2.03,-1.35
November 2015,0.17,,0.20,,0.24,,0.24,,,,0.17,-0.24,-0.26,0.31,0.30,1.75,1.66,-0.86,-1.56
October 2015,1.64,,4.88,,5.58,,6.31,,,,0.17,0.02,0.02,8.45,8.44,5.61,5.50,7.07,7.82
September 2015,-0.51,,-2.26,,-2.67,,-3.09,,,,0.18,0.75,0.68,-2.47,-2.47,-4.80,-4.84,-5.02,-5.08
August 2015,-1.10,,-4.04,,-4.69,,-5.37,,,,0.18,-0.11,-0.14,-6.03,-6.03,-5.80,-5.89,-7.36,-7.36
July 2015,0.55,,1.22,,1.33,,1.46,,,,0.19,0.74,0.70,2.10,2.10,-0.12,-0.12,2.08,2.08
